0,tt0114709,"Toy Story, Animation, Comedy, Family"
1,tt0113277,"Heat, Action, Crime, Drama, Thriller"
2,tt0112641,"Casino, Drama, Crime"
3,tt0114369,"Se7en, Crime, Mystery, Thriller"
4,tt0114814,"The Usual Suspects, Drama, Crime, Thriller"
5,tt0113247,"La Haine, Drama"
6,tt0112573,"Braveheart, Action, Drama, History, War"
7,tt0075314,"Taxi Driver, Crime, Drama"
8,tt0112471,"Before Sunrise, Drama, Romance"
9,tt0076759,"Star Wars, Adventure, Action, Science Fiction"
10,tt0110413,"Leon: The Professional, Thriller, Crime, Drama"
11,tt0110912,"Pulp Fiction, Thriller, Crime"
12,tt0111161,"The Shawshank Redemption, Drama, Crime"
13,tt0109830,"Forrest Gump, Comedy, Drama, Romance"
14,tt0110357,"The Lion King, Family, Animation, Drama"
15,tt0107207,"In the Name of the Father, Drama"
16,tt0107290,"Jurassic Park, Adventure, Science Fiction"
17,tt0108052,"Schindler's List, Drama, History, War"
18,tt0083658,"Blade Runner, Science Fiction, Drama, Thriller"
19,tt0103639,"Aladdin, Animation, Family, Comedy, Adventure, Fantasy, Romance"
20,tt0103064,"Terminator 2: Judgment Day, Action, Thriller, Science Fiction"
21,tt0102926,"The Silence of the Lambs, Crime, Drama, Thriller"
22,tt0116282,"Fargo, Crime, Drama, Thriller"
23,tt0048473,"Pather Panchali, Drama"
24,tt0057012,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, Drama, Comedy, War"
25,tt0117951,"Trainspotting, Drama, Crime"
26,tt0068646,"The Godfather, Drama, Crime"
27,tt0045152,"Singin' in the Rain, Comedy, Music, Romance"
28,tt0052357,"Vertigo, Mystery, Romance, Thriller"
29,tt0047396,"Rear Window, Drama, Mystery, Thriller"
30,tt0025316,"It Happened One Night, Comedy, Romance"
31,tt0053125,"North by Northwest, Mystery, Thriller"
32,tt0053604,"The Apartment, Comedy, Drama, Romance"
33,tt0053291,"Some Like It Hot, Comedy, Romance"
34,tt0034583,"Casablanca, Drama, Romance"
35,tt0032138,"The Wizard of Oz, Adventure, Family, Fantasy"
36,tt0031381,"Gone with the Wind, Drama, Romance, War"
37,tt0043014,"Sunset Boulevard, Drama"
38,tt0033467,"Citizen Kane, Mystery, Drama"
39,tt0062622,"2001: A Space Odyssey, Science Fiction, Mystery, Adventure"
40,tt0042192,"All About Eve, Drama"
41,tt0032976,"Rebecca, Drama, Mystery"
42,tt0035446,"To Be or Not to Be, Comedy, War"
43,tt0038650,"It's a Wonderful Life, Drama, Family, Fantasy"
44,tt0031679,"Mr. Smith Goes to Washington, Comedy, Drama"
45,tt0059742,"The Sound of Music, Drama, Family, Music, Romance"
46,tt0095016,"Die Hard, Action, Thriller"
47,tt0079470,"Life of Brian, Comedy"
48,tt0046912,"Dial M for Murder, Crime, Mystery, Thriller"
49,tt0105236,"Reservoir Dogs, Crime, Thriller"
50,tt0091763,"Platoon, Drama, War, Action"
